nf-fa-uikit,ed32,
nf-fa-typo3,ed55,
nf-fa-tooth,ee90,
nf-fa-tasks,f0ae,
nf-fa-swift,efbe,
nf-fa-store,ee17,
nf-fa-stamp,ee86,
nf-fa-spoon,f1b1,
nf-fa-socks,eedf,
nf-fa-slash,ef0f,
nf-fa-slack,f198,
nf-fa-skype,f17e,
nf-fa-shirt,ee1c,
nf-fa-route,eda6,
nf-fa-robot,ee0d,
nf-fa-rebel,f1d0,
nf-fa-react,ed46,
nf-fa-radio,efbc,
nf-fa-quora,f2c4,
nf-fa-print,f02f,
nf-fa-pills,ed87,
nf-fa-peace,eed6,
nf-fa-paste,f0ea,
nf-fa-pager,ef8a,
nf-fa-page4,ed11,
nf-fa-otter,ef0a,
nf-fa-orcid,efbb,
nf-fa-opera,f26a,
nf-fa-music,f001,
nf-fa-medrt,ed02,
nf-fa-medal,ee6b,
nf-fa-magic,f0d0,
nf-fa-lungs,eeaa,
nf-fa-linux,f17c,
nf-fa-legal,f0e3,
nf-fa-kaaba,eece,
nf-fa-joint,ee5e,
nf-fa-joget,f2ed,
nf-fa-inbox,f01c,
nf-fa-igloo,ef53,
nf-fa-icons,efa8,
nf-fa-html5,f13b,
nf-fa-houzz,f27c,
nf-fa-hooli,ed51,
nf-fa-hippo,ef03,
nf-fa-hamsa,eeca,
nf-fa-grunt,f2e3,
nf-fa-group,f0c0,
nf-fa-globe,f0ac,
nf-fa-glass,f000,
nf-fa-gifts,ef48,
nf-fa-ghost,eefe,
nf-fa-gears,f085,
nf-fa-gavel,f0e3,
nf-fa-flask,f0c3,
nf-fa-flash,f0e7,
nf-fa-figma,ef47,
nf-fa-fedex,ef45,
nf-fa-ember,ed4e,
nf-fa-eject,f052,
nf-fa-dolly,ed7e,
nf-fa-cubes,f1b3,
nf-fa-crown,edeb,
nf-fa-cross,eec3,
nf-fa-couch,ed97,
nf-fa-coins,ede8,
nf-fa-close,f00d,
nf-fa-clone,f24d,
nf-fa-child,f1ae,
nf-fa-chair,eeee,
